ResponseID,DUP,STARTDATE,ENDDATE,FINISHED,DUBIOUS,18YESORNO,COUNTRY,ZIP,DOB,YRSSURFING,WAVEPREF,WAVEPREFOTHER,BOARDPREF,BOARDPREFOTHER,ABILITY,SURFSPOT,SPOTTOWN,SPOTCO,SPOTSTATE,SPOTCOUNTRY,SPOTYRS,SPOTFAM,SURFSPERYEAR,BOTTOMCOND,BOTTOMCONDOTHER,BCHMGMTJET,BCHMGMTNAT,BCHMGMTWALL,BCHMGMTRIP,BCHMGMTSAND,BCHMGMTOTHERYN,BCHMGMTOTHER,BCHMGMTCOUNT,BCHMGMTIDK,SPOTWAVE,SPOTWAVEOTHER,BESTTIDE,5TIDE2,5TIDEMED,5TIDE6,5TIDEV6,V6BETTER,V6SHORTER,V6BACKW,V6LESSDANGER,V6CLIFFS,V6BIGSWELL,V6NEWPEAK,V6WAVEGONE,V6TAKEOFF,V6PACKDENSE,V6OTHERHAZ,PLACEIDN1,PLACEDEP1,PLACEIDN2,PLACEDEP2,PLACEIDN3,PLACEDEP3,PLACEIDN4,PLACEDEP4,PLACEIDN5,PLACEDEP5,PLACEIDN6,PLACEDEP6,PLACEBATTCOMP,WHYIMPORT,ACCESSBLOCKED,BLOCKEDHOW,NEVERSURFAGAIN,NEVERSURFAGAINEMO,IPLAT,IPLON,CCON-S,CCO,CCIT,LCPJur,LCPJurN-S,CSPOTLat,CSPOTLon,SURFSPOT,SL-SURFSPOT,SL-SPOTN-S,MORE_RES,LESS_RES,Secret
R_0ozKwAMRXmku0GV,0,5/5/14 12:12,5/5/14 12:20,0,,1,United States,23517,1985,5,slow beach break,,SUP,,1,Cowells,Santa Cruz,Santa Cruz,CA,USA,4,5,Rarely,I'm not sure,,,,seawall,,,,,1,0,I'm not sure,,I'm not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,8,Santa Cruz,Santa Cruz,Santa Cruz (City of),19,36.95981,,Cowells,Cowells,45,,,
R_0pHhywsLLqUJUKp,0,3/16/14 22:18,3/16/14 22:24,1,,1,United States,92107,1983,9,fast beach break,,shortboard,,4,Sunset Cliffs,Point Loma,San Diego,CA,USA,5,8,Monthly,hard rock reef,,,natural beaches or bluffs,,,,,,1,0,fast reef break,,2,5,4,1,1,No,Yes,Yes,No,Yes,Yes,I'm not sure,Yes,Yes,Yes,No,3,3,5,5,4,3,4,2,4,4,4,2,12,,No,,,,32.53329468,-117.0167007,15,San Diego,Point Loma,San Diego (City of),72,32.73687,-117.25701,Sunset Cliffs,Sunset Cliffs,191,,,
R_0pMQs7F152rTGNT,0,3/28/14 19:04,3/28/14 19:18,1,,1,United States,92075,1973,30,fast beach break,,shortboard,,4,Brownhouse,Solana Beach,San Diego,CA,USA,10,8,Weekly,hard rock reef,,,,,riprap,,,,1,0,fast reef break,,2,3,5,3,1,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,3,3,3,1,4,2,2,2,2,2,2,4,12,"it is protected from the wind, crowd is usually less than surrounding breaks, faster wave than surrounding spots",Yes,dirty water,no,"a little bummed but i would find another spot…also, depends on the reason I couldn't ever surf it again.",33.18200684,-117.2467957,15,San Diego,Solana Beach,Solana Beach,70,,,Brownhouse,,,1,,
R_0pr7OyytzUNxejr,0,4/26/14 19:35,4/26/14 19:43,1,,1,United States,93105,1993,10,slow point break,,"hybrid, funboard, or egg",,2,Deveroux (aka Coal Oil Point),Isla Vista,Santa Barbara,CA,USA,10,9,Weekly,"cobbles, boulders, or loose rocks",,,,seawall,,,,,1,0,slow beach break,,5,1,3,4,3,Yes,No,No,Yes,No,No,No,Yes,No,No,No,4,2,3,1,1,2,2,2,2,2,2,2,12,,Yes,Isla Vista beach closures due to partying.,no.,,34.82099915,-120.410202,11,Santa Barbara,Isla Vista,Santa Barbara County,33,34.40785,-119.87584,Deveroux (aka Coal Oil Point),Coal Oil Point,79,,,
R_0PTX7ULcXbnd8fb,0,3/20/14 14:43,3/20/14 14:53,1,,1,United States,94115,1982,10,fast beach break,,shortboard,,3,Ocean Beach,San Francisco,San Francisco,CA,USA,3.5,9,Weekly,Sand,,,,,,beach nourishment,,,1,0,fast beach break,,2,4,4,2,1,No,I'm not sure,No,No,No,Yes,Yes,No,I'm not sure,No,No,4,3,4,4,5,3,4,2,4,2,4,3,12,"Because it's my local break. It takes a lot of work to surf there, but their is also a big reward for doing so: Less crowded, All kinds of waves, not having to trade off surfing for professional life.",Yes,Suage overf2 during heavy rain.,"Yes, I wouldn't have a good home break and would probably move back down the peninsula sooner.",I would be sad. It would make me re-evaluate my lifestyle and potentially decrease the importance of surfing if I did find another consistent break near the heart of the silicon valley.,34.05220032,-118.2436981,6,San Francisco,San Francisco,San Francisco,13,37.7739,-122.5137,Ocean Beach,Ocean Beach SF,23,,,
R_0puPyhEb2B100QJ,0,4/26/14 18:40,4/26/14 18:48,1,,1,United States,92626,1980,20,fast beach break,,"hybrid, funboard, or egg",,3,Trestles,San Onofre,San Diego,CA,USA,1,6,Weekly,"cobbles, boulders, or loose rocks",,,natural beaches or bluffs,,,,,,1,0,fast beach break,,5,3,5,4,2,No,Yes,No,No,No,No,No,Yes,Yes,No,No,4,4,4,5,4,4,4,2,2,2,4,3,12,"long ride, rippable wave",No,,not having access to great waves,find similar spot,33.81610107,-117.9794006,15,San Diego,San Onofre,San Diego County,66,,,Trestles,,,,1,
R_0PzwvRcfUBrMQKN,0,4/10/14 14:09,4/10/14 14:14,1,,1,United States,92078,1978,20,slow reef break,,shortboard,fishy shortboard,3,Turtles,Solana Beach,San Diego,CA,USA,8,10,Weekly,hard rock reef,,,natural beaches or bluffs,,,,,,1,0,slow reef break,,2,3,3,2,1,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,5,4,5,4,5,2,5,4,4,3,4,4,12,"Combination of wave quality, crowd/friends",No,,"Yes.  If this spot goes away, many of the premier spots in the region would also go away.  ",That woudl be terrible.  ,32.77920532,-117.1893997,15,San Diego,Solana Beach,Solana Beach,70,,,Turtles,,,1,,
R_0qcJWHaDoqh1fUx,0,5/5/14 18:56,5/5/14 19:05,0,,1,United States,3022,1958,3,slow point break,,longboard ,,3,C Street,Ventura,Ventura,CA,USA,3,10,Weekly,Sand,,,,,,,other,Cobbles piled up,1,0,slow point break,,4,1,5,3,2,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,4,4,4,4,4,4,4,4,4,4,4,2,12,"Meeting up with friends, multiple breaks, easy access",Yes,,,,,,12,Ventura,Ventura,San Buenaventura (City of),39,34.27247,-119.29942,C Street,C Street (same as Ventura Point),98,,,
R_0qDUYgBFGiV1kzz,0,4/10/14 13:27,4/10/14 13:29,0,,1,United States,94109,1991,4,fast point break,,shortboard,,3,The Hook,Santa Cruz,Santa Cruz,CA,USA,2,7,Weekly,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,8,Santa Cruz,Santa Cruz,Santa Cruz County,18,36.959078,,The Hook,,,1,,
R_0qFnXWPk6s4QDFb,0,4/27/14 16:38,4/27/14 16:43,1,,1,United States,92024,1990,14,fast beach break,,shortboard,,5,Pipes,Solana Beach,San Diego,CA,USA,14,10,Daily,hard rock reef,,,natural beaches or bluffs,,,,,,1,0,slow reef break,,1,5,4,1,2,No,Yes,No,No,No,Yes,Yes,No,No,No,No,5,3,5,3,5,3,4,2,3,2,4,4,12,grew up there,No,,"yea, its my go to spot",,33.09579468,-117.2720947,15,San Diego,Solana Beach,Solana Beach,70,,,Pipes,Pipes,173,,,
R_0qOTUWSAiUIyCXz,0,5/5/14 20:15,5/5/14 20:36,1,,1,United States,93003,1982,14,fast beach break,,shortboard,,4,Silver Strand,Oxnard,Ventura,CA,USA,4,7,Weekly,Sand,,jetty or groin,,,,,,,1,0,fast beach break,,4,4,5,4,2,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,5,5,5,2,4,2,5,2,2,2,5,3,12,"Every spot that I surf I find special, so its hard to talk about just one.  However, I love beach breaks that have multiple peaks that al2s different conditions for different tides, and al2s the crowd to spread out.  Surfing for me is my way of seeking solitude and peace in nature and I like to seek my own peak and enjoy the power of the ocean.  I recently saw a mother and baby whale 30 feet from me while surfing at Silverstrand, that literally made my week.  Having easy access to world class waves is the reason I live where I do, and it is a huge part of who I am.  ",Yes,"There is a current parking lot project that is causing parking issues, along with some localism issues at Silverstand.  Silverstrand is also located directly next to Oxnard Harbor and Port Hueneme...so the water can be a little polluted.  ","Yes!!! Surfing is my major stress outlet, and my main recreation.  My access to good surf, which is most frequently Silverstrand, is one of the most important things in my life.  I look forward to surfing all the time and it contributes to my level of happiness.  ","I would feel a great sense of loss...I love what Silverstrand represents and the relationship I have with it.  I would be Sad and depressed, and angry at the loss.  I would also be disappointed in myself and my community for not doing what we could to protect such a sacred piece of nature.  ",34.33810425,-119.3119965,12,Ventura,Oxnard,Oxnard (City of),40,34.1553,,Silver Strand,Oxnard,100,,,
R_0qTt72JIgUoDwLb,0,4/24/14 17:27,4/24/14 17:34,1,,1,United States,92630,1986,14,fast beach break,,shortboard,,3,Uppers,San Onofre,San Diego,CA,USA,10,8,Weekly,"cobbles, boulders, or loose rocks",,jetty or groin,natural beaches or bluffs,,,,,,2,0,fast beach break,,4,3,5,4,3,No,Yes,No,No,No,No,No,No,No,No,No,2,2,4,2,2,2,3,2,2,2,3,3,12,It's Fun!,No,,,,38,-97,15,San Diego,San Onofre,San Diego County,66,33.38483,-117.59423,Uppers,Upper Trestles,156,,,
R_0qUShmeQvcx9kZn,0,3/17/14 16:35,3/17/14 16:43,1,,1,United States,92109,1986,4,fast beach break,,shortboard,,3,Blacks,La Jolla,San Diego,CA,USA,1,6,Weekly,Sand,,,natural beaches or bluffs,,,,,,1,0,fast beach break,,2,4,5,4,3,No,Yes,Yes,No,No,No,No,No,No,Yes,No,4,4,4,4,4,4,4,3,3,3,5,4,12,Blacks is one of the best waves in California and is on one of the most beautiful stretches of coastline in Southern California. It's also a quick jog down the beach from my office and has waves under almost any conditions. ,No,,"Yes. I'd surf less often and generally be forced to travel farther to find good, consistent surf. ",Dismay and sadness. It's a special place. ,32.88070679,-117.2359009,15,San Diego,La Jolla,San Diego (City of),72,32.8774,-117.25246,Blacks,Blacks,180,,,
R_0rBppX9KldwbCuh,0,4/8/14 21:13,4/8/14 21:20,1,,1,United States,94044,1969,30,fast beach break,,shortboard,,3,Lindamar,Pacifica,San Mateo,CA,USA,30,10,Weekly,Sand,,,natural beaches or bluffs,,,,,,1,0,slow beach break,,5,1,3,4,3,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,5,3,4,2,3,3,3,3,3,3,3,3,12,"close to home, local",Yes,"water polution, shark sighting, lightning (very rare)","yes, it would suck, this is the most consistent surf spot within 25 miles",shit,37.60099792,-122.4544983,7,San Mateo,Pacifica,Pacifica (City of),16,37.59951,,Lindamar,Pacifica/Lindamar,27,,,
R_0SMflhEOiNZF7Kd,0,4/26/14 21:18,4/26/14 21:41,1,,1,United States,94132,1982,15,fast beach break,,shortboard,,3,Ocean Beach - South,San Francisco,San Francisco,CA,USA,10,10,Weekly,Sand,,,natural beaches or bluffs,,,,,,1,0,other,Heavy and stormy,2,3,3,2,1,No,No,No,No,Yes,No,Yes,Yes,No,No,No,3,2,2,4,2,1,2,2,2,2,2,4,12,It's not.  It's the only one near me that doesn't suck.,Yes,Water pollution and HUGE surf.,Nope.,Indifferent.,39.15870667,-121.4725952,6,San Francisco,San Francisco,San Francisco,13,37.74193,-122.5096,Ocean Beach - South,South Ocean Beach,24,,,
R_0SWvvhhn5uuAJnL,0,4/1/14 10:02,4/1/14 10:10,1,,1,United States,92625,1970,35,fast beach break,,shortboard,,4,56th Street,Newport Beach,Orange,CA,USA,30,10,Weekly,Sand,,jetty or groin,,,,,,,1,0,fast beach break,,4,3,5,4,2,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,3,3,3,2,3,2,3,3,3,2,3,3,12,It's local and has become a habitual location for friends.,Yes,Water quality. Raw sewage leak.,Sort of.  Just means that I would have to travel more outside of my immediate region.,Ambiguity.,34.05220032,-118.2436981,14,Orange,Newport Beach,Newport Beach (City of),59,33.62304,-117.94742,56th Street,54th/56th St Newport,136,,,
R_0TBbdE6IGKpyDdP,0,4/12/14 7:37,4/12/14 7:53,1,,1,United States,93111,1988,3,fast beach break,,shortboard,,3,Scripps - Pier,La Jolla,San Diego,CA,USA,3,8,Daily,Sand,,,,seawall,,,,,1,0,fast beach break,,4,2,3,2,1,No,Yes,No,No,No,No,No,No,No,No,No,4,3,4,1,4,1,3,1,2,2,4,4,12,Fun wave with easy access and fairly consistent. It breaks in several environmental conditions that typically shut other nearby spots down. ,No,,"No, I don't live in San Diego anymore. Even if I did there are plenty other places to surf. ",Mild disappointment. ,30.45069885,-91.15460205,15,San Diego,La Jolla,San Diego (City of),72,32.866365,-117.255462,Scripps - Pier,Scripps,181,,,
R_0TeeNBpiDip51dz,0,4/9/14 12:24,4/9/14 12:39,1,,1,United States,92109,1978,16,fast beach break,,"hybrid, funboard, or egg",,4,Horseshoes,La Jolla,San Diego,CA,USA,10,8,Weekly,hard rock reef,,,natural beaches or bluffs,,,,,,1,0,fast reef break,,5,1,5,4,2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I'm not sure,No,4,4,4,5,4,2,3,2,1,3,4,3,12,It maintains 6er levels of risk congruent with 6er levels of utility,Yes,pollution,"Yes, the implied happiness and lifestyle fulfillment would appear diminished if I could never surf Horsehoe again. There would also be a slight minimization of hope for the sustainability of other surf spots I enjoy.",Total loss of hope coupled with unchecked aggression dipped in hol2 anguish supersaturated in the ominous knowledge that I will never achieve a level of happiness like that again in the form of existence.,32.71530151,-117.1573029,15,San Diego,La Jolla,San Diego (City of),72,32.83884,-117.28321,Horseshoes,Horseshoe,183,,,
R_0TxhClkbhA8WCzP,0,4/14/14 19:15,4/14/14 19:33,1,,1,United States,94024,1967,13,fast reef break,,shortboard,,3,Getchells,Santa Cruz,Santa Cruz,CA,USA,12,9,Monthly,hard rock reef,,,,,riprap,,,,1,0,fast reef break,,2,4,4,1,1,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,3,4,3,2,3,3,4,2,3,2,3,4,12,"Getchells is a break that is not as crowded as Steamer Lane or other spots in Santa Cruz, yet has a decent wave.",No,,"I would be forced to surf other, more crowded spots if Getchells was no longer accessible. This would cause me to catch less waves due to competition.",I would be disappointed and angry at whoever was responsible for the loss of an excellent surf break.,37.39610291,-121.9617004,8,Santa Cruz,Santa Cruz,Santa Cruz (City of),19,,,Getchells,,,1,,
R_0U4tjz3aMTp99Qh,0,4/27/14 8:39,4/27/14 8:45,1,,1,United States,92130,1965,32,fast beach break,,shortboard,,3,Torrey Pines,Del Mar,San Diego,CA,USA,32,10,Daily,Sand,,,,,riprap,,,,1,0,fast beach break,,6,2,3,4,4,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,4,4,5,3,5,5,5,5,4,3,5,4,12,"lack of crowds, magical suprise days",Yes,road closure,"longer travel times, 6er crowd concentration","sad, frustrated, angry",32.95700073,-117.1978989,15,San Diego,Del Mar,Del Mar (City of),71,,,Torrey Pines,,,1,,
R_0ugBPMwhmim5QTr,0,3/11/14 14:40,3/11/14 15:02,1,,1,United States,95501,1963,22,fast point break,,longboard ,,3,Humboldt Bay - North Jetty,Eureka,Humboldt,CA,USA,20,10,Weekly,Sand,,jetty or groin,,,,,,,1,0,fast beach break,,2,5,3,2,1,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,5,4,5,3,5,3,5,4,4,3,5,2,12,"It's one of two spots I consider my ""home breaks,"" the one closest to me and the one I surf the most frequently.  When it's on, it's ON.  It can be very challenging and so to a great extent it polices itself.  There are two other breaks very closely associated with it and there is a long running fairly insular crew that have been surfing it regularly for at least as long as I have.  It produces waves year round, although the quantity and quality decline severely during the off season and it can be too big to handle during much of the winter, so it requires a great deal of investment in time and gas to monitor it and make sure it's taken advantage of when conditions are optimal.  To be fully capitalized on requires a great deal of skill and dedication.  Occasionally newcommers possess the skill and tact to integrate quickly but more generally it takes up to several years.  Despite a regular influx of newcomers every year due to the nearby university, there are not often fights or negative attitudes associated with the spot because, as I said, it tends to police itself.  If you don't belong there the spot will generally inform you so it's not usually necessary for a human to intervene.  That said, the locals do command respect and they generally get it.",Yes,"Only a couple of times has there been polluted water sufficient to keep me away and that's been a long time since.  At least a few times a year there are great white shark sightings and occassional injurious shark encounters and since I have a family I will usually stay away that day or maybe even for a couple days.  The spot is accessed via BLM land so it was gated off during the big federal government shut down last year.  Surfers were still al2ed to walk in but it is a substantial hike and in fact a shark attack occurred there during that time so that there were no vehicles on the beach and it took nearly 40 minutes to get an ambulance to the victim.  I chose to stay away from there until the gate was re-opened, which was several weeks.","Take away the North Jetty and you may as well take away surfing because there's no other spot within striking distance that is going to be accessible enough and productive enough to keep me suiting up several times a week, week after week, year after year.  Again, it's my home break.","It would be devestating.  I literally use the moniker ""Jetty Rat"" on several internet forums that have nothing to do with surfing.  As I said it's only one of two spots I consider my ""home break"" but it's the closest, most accessible, and most productive of those two spots, and it's definitely where I learned to go big.  Even on the rare occassions when I've travelled to warm waters with 6 quality surf, given the challenges of unfamiliar and sometimes unfriendly crowds, I always long for my home break.  My other ""home break"" is Camel Rock, about 20 miles to the north, and it only breaks at all under certain conditions, usually only for a couple hours at a time and only during about a third of the year.  I love that spot equally but it's just not as big a part of my life and the Harbor Entrance to the North Jetty actually offers an alternative that is available usually during the same conditions as Camel Rock.  The Harbor Entrance and the North Jetty are two distinct spots but they are right next to each other and are both possible only because of the geography that makes up the mouth of Humboldt Bay.",40.80039978,-124.1528015,2,Humboldt,Eureka,Eureka (City of),6,40.7681,-124.2312,Humboldt Bay - North Jetty,North Jetty,5,,,
R_0Um7hXH7enHjQOh,0,5/5/14 12:50,5/5/14 12:53,0,,1,United States,93940,1976,10,fast point break,,bodyboard,,2,County Line,Malibu,Ventura,CA,USA,3,5,Monthly,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,12,Ventura,Malibu,Ventura County,38,34.0512,-118.96402,County Line,County Line,101,,,
R_0uN6rtHkBsV0h2B,0,4/10/14 13:53,4/10/14 14:00,0,,1,United States,92648,1992,5,fast beach break,,shortboard,,3,Huntington Beach - Cliffs,Huntington Beach,Orange,CA,USA,5,9,Daily,Sand,,,,seawall,,,,,1,0,fast beach break,,2,3,5,3,1,No,Yes,No,No,No,No,No,No,No,No,No,3,3,3,2,3,3,3,3,3,3,3,4,12,,No,,,,,,14,Orange,Huntington Beach,Huntington Beach (City of),57,,,Huntington Beach - Cliffs,,,1,,
R_0USM9sSRWdRJsqN,0,4/11/14 1:19,4/11/14 1:27,1,,1,United States,92102,1991,1,fast beach break,,shortboard,,3,Abalones,Point Loma,San Diego,CA,USA,1,6,Weekly,hard rock reef,,,,seawall,,,,,1,0,slow reef break,,4,4,5,4,2,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,4,5,4,4,4,4,2,1,1,1,4,4,12,,No,,"yes , ",sad,32.71910095,-117.1607056,15,San Diego,Point Loma,San Diego (City of),72,,,Abalones,,,1,,
R_0vqI4SP56eCnGM5,0,4/27/14 7:02,4/27/14 7:15,1,,1,United States,92117,1990,3,slow beach break,,shortboard,,4,Scripps,La Jolla,San Diego,CA,USA,3,9,Weekly,Sand,,,natural beaches or bluffs,,,,,,1,0,slow beach break,,2,5,5,4,3,No,Yes,No,No,No,Yes,No,No,No,No,No,4,3,4,1,3,2,4,3,3,2,4,3,12,,Yes,Pollution,"kind of, it is the closest beach from where i live","Bummed, but not sad",32.81829834,-117.1966019,15,San Diego,La Jolla,San Diego (City of),72,32.8664,-117.2557,Scripps,Scripps,181,,,
R_0vsmS5aaQmWveJL,0,3/17/14 21:24,3/17/14 21:33,1,,1,United States,92037,1995,16,fast beach break,,shortboard,,3,Blacks,La Jolla,San Diego,CA,USA,1,4,Daily,Sand,,,natural beaches or bluffs,,,,,,1,0,fast beach break,,2,5,4,4,3,No,I'm not sure,Yes,No,No,Yes,No,No,Yes,No,No,4,2,3,2,4,2,4,2,2,4,3,4,12,"Because its within walking distance, and consistently has waves to surf",No,,"Yes, I would have to walk a lot further to the surf, which would be a pain",Pretty depressed,32.88070679,-117.2359009,15,San Diego,La Jolla,San Diego (City of),72,32.8774,-117.25246,Blacks,Blacks,180,,,
R_0vwootZU96Rwo8l,0,4/27/14 7:21,4/27/14 7:41,1,,1,United States,92009,1953,47,slow point break,,longboard ,,4,Swamis,Encinitas,San Diego,CA,USA,21,8,Daily,hard rock reef,,,,seawall,,,,,1,0,slow point break,,4,4,5,4,3,No,Yes,No,No,Yes,No,No,Yes,No,No,No,4,4,5,4,5,4,4,4,5,3,5,3,12,"It has good karma and mystical presence with the Self Realization Center on bluff above Swami's, plus the right hand point break offers very long rides of 6 quality. I have many friends who all surf dawn patrol together and that makes it a great social gathering as well as an awesome surf break.",Yes,Whenever we have a big rainfall event the polluted runoff in ocean can be hazardous to your health. Better to be safe and let 72 hours pass for water to celan up.,"It would be sad as I would miss my dawn patrol surf sessions with my friends the most. In addition to great waves, Swami's has a beautiful and mostly natural beach setting with glorious sunrise conditions and awesome sunsets. ","I have adapted to many surf locations in my life on the east and west coasts, and could again if I had to move away and not surf Swami's again. Life will go on and as long as I am surfing somewhere my life would not be impacted very much.",33.0500946,-117.2528,15,San Diego,Encinitas,Encinitas (City of),69,33.03407,-117.2953,Swamis,Swamis,172,,,
R_0VZzrL1qlYdTNYh,0,3/18/14 18:27,3/18/14 18:37,1,,1,United States,93110,1960,40,fast beach break,,"hybrid, funboard, or egg",,4,Rincon,Rincon,Ventura,CA,USA,30,8,Monthly,"cobbles, boulders, or loose rocks",,,,seawall,,,,,1,0,slow point break,,2,2,5,2,1,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,3,4,4,3,2,1,3,1,1,1,4,5,12,"THe style of wave is wonderful for me, as are Honolua, Hanale, Parts of Mexico and Indo, etc.",No,,"Only in that it woulld be a loss of a great surf spot.  On the otehr hand it is no so crowded that I do nto surf it nearly as much now as in the apst, adn all of my responses were related to my life-long enjoyment, adn I picked it because it is descriptive fo the typre of wave I enjoy tremendously.",On those magical days with few out and decent to great surf - well magical!,34.41940308,-119.7071991,12,Ventura,Rincon,Ventura County,38,34.37289,-119.47766,Rincon,Rincon,86,,,
R_0wahO0JJlnPKodf,0,4/7/14 8:25,4/7/14 8:31,1,,1,United States,94116,1976,11,fast beach break,,shortboard,,3,Ocean Beach,San Francisco,San Francisco,CA,USA,11,10,Weekly,Sand,,,,seawall,riprap,beach nourishment,,,3,0,fast beach break,,4,4,3,2,1,No,Yes,No,No,No,No,Yes,No,Yes,No,No,5,3,5,5,5,3,5,3,4,3,5,4,12,heavy fun,Yes,oil spill,"yes, it would suck, i would move",bummed,37.7696991,-122.3932953,6,San Francisco,San Francisco,San Francisco,13,37.7739,-122.5137,Ocean Beach,Ocean Beach SF,23,,,
R_0wcHMrse3kT2odf,0,3/16/14 16:24,3/16/14 16:36,1,,1,United States,92677,1993,5,fast beach break,,shortboard,,3,Salt Creek,Dana Point,Orange,CA,USA,10,8,Daily,Sand,,,natural beaches or bluffs,,,,,,1,I'm not sure,fast beach break,,4,2,5,4,2,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,4,2,4,5,5,2,5,5,4,4,5,2,12,"I grew up at this beach, life gaurding, sponging, body surfing, surfing, and hanging out. Water is clean and waves are pretty good ",Yes,Poor water quality,Ya it would be very disappointing to not be able to surf at my favorite beach. And ii wouldnt be able to walk to the beach to surf anymore ,Very sad and pissed off,34.07099915,-117.701004,14,Orange,Dana Point,Dana Point (City of),64,33.4644,-117.71615,Salt Creek,Salt Creek,149,,,
R_0wRIATQQ1ZrGs3b,0,4/8/14 8:45,4/8/14 8:48,0,,1,United States,95064,1988,15,slow point break,,Kayak,kayak,4,Davenport,Davenport,Santa Cruz,CA,USA,10,7,Weekly,hard rock reef,,,natural beaches or bluffs,,,,,,1,0,slow reef break,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,8,Santa Cruz,Davenport,Santa Cruz County,18,37.02404,,Davenport,Davenport,39,,,
R_0wW2dVQsyZEX5HL,0,4/5/14 8:28,4/5/14 8:44,1,,1,United States,92111,1968,10,slow beach break,,longboard ,,3,La Jolla Shores,La Jolla,San Diego,CA,USA,10,10,Weekly,Sand,,,,,,,other,Scripps pier at the north end,1,0,slow beach break,,4,2,5,3,2,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,5,4,5,2,4,2,3,2,2,1,4,4,12,I grew up going to this beach. Been playing there for over 45 years and surfing there for 10. and working there for 2. I'm comfortable there and know it well. ,Yes,Shark sighting - closed beach for the day. Run off closure. ,Ya. That's where I work. I teach surfing there. I'd be out work. And it's my local spot. I'd have to get local somewhere else. That take a while to fit in. ,Sad. Frustrated. Sense of loss. ,32.77920532,-117.1893997,15,San Diego,La Jolla,San Diego (City of),72,32.8632,-117.25631,La Jolla Shores,La Jolla Shores,182,,,
R_0x1M3Y0ezmR1OSh,0,4/26/14 19:02,4/26/14 19:09,1,,1,United States,934302,1992,15,fast reef break,,shortboard,,4,The Spot,San Luis Obispo,San Luis Opisbo,CA,USA,15,8,Weekly,hard rock reef,,,natural beaches or bluffs,,,,,,1,0,fast reef break,,2,4,5,3,2,No,No,No,Yes,No,No,No,No,No,No,No,4,5,5,5,5,5,5,5,5,5,5,4,12,"It's untouched and fickle, less known and has some epic waves",Yes,"Localism, assholes",yes! I would pine for it,"Depression, loss, emptiness",35.31109619,-120.8323975,10,San Luis Opisbo,San Luis Obispo,San Luis Obisbo County,29,,,The Spot,,,1,,
R_0xf2ODz0x8JBgt7,0,4/7/14 19:24,4/7/14 19:48,0,,1,United States,90293,1971,1,slow beach break,,"hybrid, funboard, or egg",,2,Dockweiller State Beach,El Segundo,Los Angeles,CA,USA,1,6,Weekly,Sand,,jetty or groin,,,,,,,1,0,slow beach break,,2,2,3,1,1,No,Yes,Yes,No,No,Yes,No,No,No,No,No,3,2,2,1,2,2,2,2,2,2,2,4,12,"It's convenient so I can surf before work which lets me get out several times a week.  Although the waves aren't the best, its generally small enough that I feel comfortable as I learn and its not crowded.",No,,,,,,13,Los Angeles,El Segundo,El Segundo (City of),46,33.9414,-118.443,Dockweiller State Beach,Dockweiler State Beach,114,,,
R_0xgLCQWBInQRFKR,0,5/12/14 21:35,5/12/14 21:45,1,,1,United States,92606,1977,23,fast reef break,,shortboard,,2,Strands,Dana Point,Orange,CA,USA,20,10,Weekly,Sand,,,,seawall,riprap,,,,2,0,slow reef break,,5,3,3,4,4,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,1,1,1,2,1,3,1,3,3,3,1,4,12,"Used to be more important, now it somewhat saddens me due to the developments of houses etc.",Yes,Housing development,Yes. It takes joy from me. Not cool.,"Sad, mad, upset, annoyed",33.70809937,-117.7595978,14,Orange,Dana Point,Dana Point (City of),64,33.46666,-117.71694,Strands,Strands,150,,,
